lon,lat,depth,strike1,dip1,rake1,mag
103.387866,31.007381,10.722,94,86,117,4.1
103.385783,31.178056,19.873,330,33,-163,4.5
104.013477,31.578084,12.253,180,79,-52,5.0
103.987777,31.611641,13.170,311,86,57,4.8
104.191919,31.794440,7.285,136,79,57,4.3
104.264486,31.903859,3.632,93,19,-8,5.1
104.460978,31.926731,11.869,11,89,-116,4.0
104.604826,32.112767,19.344,217,88,126,4.7
105.020516,32.318229,11.685,62,81,-122,4.4
105.136255,32.422504,17.659,302,84,41,4.1
103.479346,30.985919,12.926,190,28,77,8.0
103.280119,30.995732,14.642,181,58,57,4.8
103.407113,30.889978,14.315,218,25,102,4.1
103.281885,30.913218,16.424,192,30,81,5.0
103.324129,30.797489,15.730,184,48,86,4.7
103.837126,31.427696,12.757,194,30,92,5.6
103.879443,31.399921,4.750,213,36,95,5.3
103.887939,31.437242,15.847,206,57,84,4.0
103.899219,31.397040,23.965,215,61,99,4.2
103.600317,31.292438,15.127,232,35,136,4.9
103.907500,31.438040,15.500,198,52,90,5.0
103.925977,31.400348,22.581,188,48,96,4.9
103.884814,31.419244,17.008,168,35,76,4.5
103.902612,31.388328,22.213,162,14,54,4.8
104.062240,31.569877,16.002,222,47,74,4.5
104.027466,31.675761,17.854,208,60,92,4.4
104.110018,31.701078,28.175,200,54,94,5.1
104.335327,31.794672,9.796,218,57,98,5.0
103.956104,31.622097,21.548,150,29,87,4.5
104.110254,31.801900,18.694,147,36,91,4.6
104.132837,31.808382,18.600,305,52,62,4.3
104.354110,31.899652,8.599,145,70,64,4.6
104.698617,32.103849,19.206,212,69,119,6.1
104.726579,32.179431,9.090,227,38,97,4.4
105.016667,32.183333,19.000,183,47,61,4.7
104.873836,32.267828,11.010,250,54,91,4.5
104.969141,32.267078,11.271,238,48,88,4.3
104.867660,32.308189,20.498,235,50,84,6.0
104.914111,32.335236,22.068,233,47,109,5.0
105.080615,32.383708,19.470,231,63,65,4.1
104.973918,32.414087,18.637,221,35,89,5.1
104.995516,32.457367,22.555,256,61,144,4.2
105.405192,32.513072,17.555,33,36,43,4.5
104.499048,32.082241,14.027,5,46,117,4.0
104.515739,32.098537,16.549,132,38,76,4.6
104.783333,32.416667,18.000,324,45,89,4.0
105.014339,32.404097,23.323,213,46,119,4.4
105.089909,32.501851,23.836,206,42,128,4.3
105.067603,32.516270,7.285,158,19,84,4.6
105.261654,32.519773,18.973,141,54,64,4.2
105.438509,32.697616,19.805,189,35,90,4.4
105.422054,32.722129,11.972,172,65,100,4.6
105.460384,32.781954,8.552,160,68,111,5.6
105.503019,32.762443,2.512,27,50,116,4.7
103.413599,31.273075,14.193,31,84,-168,6.0
103.357739,31.306809,14.066,212,84,-158,5.0
103.320076,31.347632,7.111,40,83,-171,5.6
103.187264,31.431868,6.848,240,73,-159,5.9
103.266667,31.533333,1.000,235,78,-175,4.8
103.396134,31.400350,5.036,17,68,179,4.1
103.459570,31.313802,2.135,358,81,-176,5.0
103.475300,31.218130,14.400,44,79,-155,4.3
103.828158,31.412191,25.125,21,90,-153,4.0
103.267122,31.051174,19.398,110,79,-173,4.0
103.650789,31.185311,15.381,329,79,156,4.9
103.431746,31.220164,17.418,322,85,-159,4.6
104.152816,31.598031,12.432,60,75,-177,4.7
104.100000,32.016667,2.000,314,62,175,4.0
104.200171,32.023234,0.826,355,88,174,4.2
104.956323,32.327995,20.794,152,74,155,4.0
105.120524,32.461674,2.545,237,85,161,4.6
105.155640,32.494153,21.030,84,83,-175,4.8
105.262760,32.567261,17.394,217,78,147,5.4
105.345313,32.590257,26.591,242,89,176,6.4
105.605998,32.806189,19.316,255,87,176,4.6
105.716667,32.816667,33.000,237,81,180,4.8
105.605477,32.794507,19.632,252,89,168,5.4
105.590552,32.799768,17.975,330,54,-5,5.7
105.572078,32.700631,21.044,55,84,-148,5.1
105.393530,32.566583,22.983,83,85,168,4.5
105.270630,32.497770,10.881,238,85,158,4.3
105.173900,32.412520,12.600,86,79,-177,4.0
105.650000,32.416667,19.000,90,86,178,4.8
