id,lon,lat,depth,strike1,dip1,rake1,mag,utm_e,utm_n,strike2,dip2,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd_1,tau_ss_1,sig_nn_1,tau_dd_2,tau_ss_2,sig_nn_2
0,103.387866,31.007381,10.722,94,86,117,4.1,346098.1715309705,3431535.502851082,274,4,51.18380908820978,0.3411257562719366,12.67509460842973,-8.112086738874442,42.33027255290524,43.204280062808024,6.5857467334091115,-1.1978012963494942,42.282939045298924,6.585746733409113,13.15858854629292,52.14837274453371
1,103.385783,31.178056,19.873,330,33,-163,4.5,346174.62631940463,3450457.2667322536,150,57,66.58576908483427,1.826575856610516,14.763866256240235,-9.576754677511374,47.21744926120552,45.21917969359434,-11.605436752553217,13.17285201743266,53.85546927905348,-11.60543675255322,-8.497302587956177,61.03004276884754
2,104.013477,31.578084000000004,12.253,180,79,-52,5.0,406391.35368204414,3494093.0745139346,0,11,58.20016269336258,1.9274246072748837,12.803337401728179,-4.582922435977372,34.72881781020641,39.14300640661511,-16.267307998238017,1.0175495626494937,40.37957884988483,-16.267307998238017,4.866491195765727,52.549401653684164
3,103.987777,31.611641,13.17,311,86,57,4.8,403987.06323728635,3497834.918849598,131,4,61.55166045871233,1.8529120537043469,11.491818532027155,-2.6896220890197773,35.543968594950215,40.534332246926944,3.9715036337329144,2.935718291540214,39.55832094819208,3.9715036337329126,-10.25773837558304,62.2146317646106
4,104.191919,31.79444,7.285,136,79,57,4.3,423501.4966720296,3517935.5235087713,316,11,42.264193895397405,0.7548616700415083,4.796847115542481,1.188000758185076,30.45532400648157,39.150430507953416,-5.249115452981349,3.818189794067938,37.25701111971047,-5.249115452981346,3.266147051807558,40.41273444127423
5,104.264486,31.903859000000004,3.632,93,19,-8,5.1,430453.5274001182,3530015.192185944,273,71,34.02471435990927,0.07748154600714459,3.300800107980484,-1.7440943727881928,27.565095350217216,38.45807523486569,0.12168097793335697,-3.0427335639727966,33.526378424582,0.12168097793335697,1.5683174493640657,38.93467375534899
6,104.460978,31.926731,11.869000000000002,11,89,-116,4.0,449045.7116886179,3532441.1785475714,191,1,35.86688647935735,0.46430888635952194,4.037240558541624,-4.0786439033677295,25.038598665164784,34.669753182447955,4.552551545681602,-1.3168080904937558,25.053092364194125,4.552551545681602,-3.2568434151022787,36.02911138412625
7,104.604826,32.112767,19.344,217,88,126,4.7,462719.3303863785,3553003.5193359815,37,2,35.92050782581666,0.0501022350810013,5.693808632291457,-4.3522319371845,27.532649570026543,35.321694374657376,-7.344899412389819,-3.7292910522794402,30.81228455970476,-7.344899412389818,-0.0809723077921558,35.413758021845304
8,105.020516,32.318228999999995,11.685,62,81,-122,4.4,501931.12291200383,3575710.0490039587,242,9,35.056667487599405,0.3223773047651402,3.8813333164536696,-1.2189264368603439,20.35586936680525,32.85072252807351,1.948930703509486,-5.7402198834739755,29.06180413100099,1.948930703509486,1.9811860710519618,35.82441301469359
9,105.136255,32.422504,17.659000000000006,302,84,41,4.1,512810.651555052,3587276.805900332,122,6,31.0199159028378,0.07824011424138463,4.426747686055373,-2.4376348314805445,21.610048582557678,32.666821962097025,0.12824270852856268,5.434985055033416,29.589482677475907,0.12824270852856268,-4.502398578513051,31.062675459638967
10,103.479346,30.985919,12.925999999999998,190,28,77,8.0,354799.7546635729,3429033.541186752,10,62,39.54623939611227,0.7023322447173148,12.265140188576236,-8.090364146392515,37.8759746984484,38.731127857989044,6.758739767711935,-4.913140234818876,50.30932604420639,6.758739767711926,3.1942057168985265,26.898462298293097
11,103.280119,30.995732,14.642,181,58,57,4.8,335790.7552638133,3430398.3666776777,1,32,63.90109266508479,0.554692063263804,15.12641711938562,-9.045120993736953,46.90338823915434,46.678339582887205,-14.346623989860825,-4.179109878570614,65.39796305555946,-14.346623989860827,7.74149508293731,45.38709082806648
12,103.407113,30.889978000000006,14.315,218,25,102,4.1,347749.69910370075,3418495.534496469,38,65,42.03538830756497,0.5554944108130145,13.546831662934686,-7.555601608251128,38.571682623311204,38.0056581289145,8.236541244986082,2.335630458722209,53.023127671067954,8.236541244986075,-0.6378498099688115,26.830404019147938
13,103.281885,30.913218,16.424,192,30,81,5.0,335818.2741619813,3421249.2505177073,12,60,57.96267930185788,0.6423957617245386,16.082247631212674,-8.884409018425245,44.426774706685464,43.89333929642326,2.8046486636226877,-4.282599901205132,69.73059800861158,2.804648663622679,3.2754715189334678,32.37451114714609
14,103.324129,30.797489,15.73,184,48,86,4.7,339663.1406478638,3408359.7873654338,4,42,46.3768146137698,0.476495197339228,15.135609595141531,-8.187583786460168,40.001712508293416,37.826358889826594,-4.846277095867466,-4.295592160071028,58.397640105376695,-4.846277095867457,5.702146013163983,27.903986506541397
15,103.837126,31.427696,12.757,194,30,92,5.6,389480.07738257275,3477587.8217894817,14,60,68.59277110478304,1.9549662301523143,9.99588390738263,-8.46327707893671,35.860695776922405,41.07637236440108,-8.56543740353299,-4.766541948686874,70.42930964751656,-8.565437403533004,3.3314239622933086,33.41160993264249
16,103.879443,31.399921000000006,4.75,213,36,95,5.3,393470.7525080454,3474467.3893158627,33,54,64.03680027356418,0.48147225075264416,13.87735242448823,-7.85904999074556,36.62842647342518,42.27404547187526,-7.52706107107522,-0.6183380056374228,70.133808121917,-7.527061071075231,-2.4962175605678008,31.766241276884106
17,103.887939,31.437242,15.847,206,57,84,4.0,394320.3577372249,3478595.920934482,26,33,61.79696893839158,1.3438206151347847,12.622718609045362,-9.474267376523432,34.629670027764014,39.07244231126539,-18.8067978373115,-2.398310748589611,56.70259048761065,-18.806797837311507,1.9981216595568934,39.51886765535282
18,103.899219,31.397040000000004,23.965,215,61,99,4.2,395347.7304419915,3474129.063679125,35,29,53.00237487945721,0.3520291414104225,14.434196894989185,-11.27931641429036,33.94054808259409,36.78266935466465,-17.520464510870625,-1.5282189135426356,54.39670083298165,-17.520464510870625,0.25092580170760603,33.15045221620871
19,103.600317,31.292438,15.127,232,35,136,4.9,366781.1422519513,3462857.4311882905,52,55,64.15495930414323,2.0346906734413057,6.877771337545889,-10.043394395204015,42.64478134679691,42.78186321874849,-6.838984288227969,-0.9459633645110227,67.87284941179723,-6.838984288227969,-0.01972638230952095,37.0377620635424
20,103.9075,31.43804,15.5,198,52,90,5.0,396180.2323186118,3478665.717168181,18,38,59.90221512651147,1.21950246533841,13.156586239256788,-9.672069169649086,34.2615477977316,38.7141938899251,-16.331141740063146,-3.4139776928133734,58.840310372757315,-16.331141740063153,3.846674828994451,35.0318368540614
21,103.925977,31.400348,22.581,188,48,96,4.9,397895.35855739313,3474470.568845025,8,42,51.23627279606353,0.24838112531097153,14.592102966869156,-11.144967152685181,33.38504728011112,36.429337025573936,-10.554018256874707,-6.160335154820185,57.28595131565531,-10.554018256874716,6.571542873078883,27.325870954809567
22,103.884814,31.419244,17.008,168,35,76,4.5,394003.1213229479,3476603.994866797,348,55,59.68110635843261,1.1124767715758397,12.946412895125457,-10.159276086081734,34.343286759963405,38.52711766066821,-7.9985612500337915,-9.274099398202793,61.4685325781589,-7.9985612500337915,8.773171845899611,33.18920120071827
23,103.902612,31.388328,22.213,162,14,54,4.8,395660.6889919858,3473160.190411849,342,76,52.528361639875655,0.3482407238653733,14.235591779048725,-11.400648329185056,33.61816246719931,36.788776985878954,4.52369598243386,-14.495372003671294,56.15347965742529,4.5236959824338605,4.864806301682617,30.50050195661333
24,104.06224,31.569877,16.002,222,47,74,4.5,411010.7466224037,3493142.702525715,42,43,50.43193130767841,1.3313372876192642,13.828781314280477,-6.277078221929692,33.24015627448473,36.705954233786805,-9.471229453587064,1.9706953975512698,55.79993344940654,-9.471229453587064,-4.43625511129419,28.099871762409073
25,104.027466,31.675761,17.854,208,60,92,4.4,407815.170312198,3504908.019890729,28,30,55.73670590858776,1.0947153579953255,12.347685662577362,-2.8238931095431243,35.45956927147839,40.316512516015905,-14.823756526948266,0.43834845653635823,51.24089145930609,-14.82375652694827,-3.5615161166065135,40.11831108254488
26,104.110018,31.701078000000006,28.175,200,54,94,5.1,415663.3297292379,3507647.4397202167,20,36,48.04390838328287,0.6797946297163606,14.637302506298136,-6.134383101061318,34.59968085907763,37.45525962931852,-11.340791069674118,-0.7668381353187124,54.25394633320394,-11.340791069674125,0.38002426072344375,28.286718604748117
27,104.335327,31.794672,9.796,218,57,98,5.0,437077.9435925793,3517869.302101516,38,33,36.473468484509205,1.5718182286873403,5.306504672309484,-1.8064051532405676,25.79039224303269,34.041081585504365,-6.301042959645169,-2.034057677676567,34.92232223572388,-6.301042959645169,-3.519106467772362,28.943743450408455
