,along_strike_km,depth_m,f_trace_dist,z_trace_dist,q_trace_dist,f_dip_slip,z_dip_slip,qa_dip_slip,qb_dip_slip,f_strike_slip,z_strike_slip,qa_strike_slip,qb_strike_slip,trace_dist_mean,trace_dist_median,trace_dist_std,trace_dist_st_mad,dip_slip_mean,dip_slip_std,dip_slip_median,dip_slip_st_mad,strike_slip_mean,strike_slip_std,strike_slip_median,strike_slip_st_mad,utm_lon_mean,utm_lat_mean,utm_lon_median,utm_lat_median,topo_easting_med,topo_easting_mean,topo_northing_med,topo_northing_mean,dip_slip_min,dip_slip_max,strike_slip_min,strike_slip_max,med_strike,med_dip,depth_km_bsl,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,sig_nn_med,tau_dd_med,tau_ss_med,tau_cs_med,slip_mag_med,slip_mag_mean
0,0.0,-16000.0,0.0,0.0,-36.39449902014371,0.0,0.0,0.0,-0.01171645007405332,0.0,0.0,0.4283469978448233,-0.011692840590773513,-12.131499673381233,0.0,17.156531370020517,0.0,-0.00292911251851333,0.005073371703151121,0.0,0.0,-0.00292911251851333,0.1872282706981533,0.0,0.008667915700256582,312502.5337667393,3407216.875515561,321063.31049255736,3398621.1564545436,967709.716904533,959148.9401787148,381486.7250876036,390082.444148621,-0.01171645007405332,-0.00292911251851333,-0.01171645007405332,0.4283469978448233,134.88330684832542,88.43876638209274,16.0,43.13403589634605,42.006461135275785,63.599496431174444,0.014442741301232147,15.532246042095917,-11.39575951463614,42.75520546302178,-3.4542710247576967,-1.082570445137291,-22.033185836203707,0.0,0.004142390649398365
1,4.0,-16000.0,0.0,0.0,-36.435400532232784,0.0,0.0,0.0,-0.05363395527667063,0.0,0.0,0.0,-0.05317533118296442,-12.145133510744257,0.0,17.17581252772649,0.0,-0.013408488819167657,0.0232241838875176,0.0,0.0,-0.013408488819167657,0.023025593829549003,0.0,0.0,315327.0946972957,3410049.1963715195,323897.49234721396,3401443.8171168864,970543.8987591895,961973.5011092712,384309.38574994594,392914.7650045794,-0.05363395527667063,-0.013408488819167657,-0.05363395527667063,0.0,207.3828297238564,80.9887291674102,16.0,43.182435774751255,41.64367649358016,62.274490664559416,0.047488606842333,16.162978194312373,-10.598427254824138,49.24397581446893,-21.29300150799756,0.3380749043848542,-8.250700295183567,0.0,0.018962466738994908
2,8.0,-16000.0,0.0,0.0,-36.38972075383328,0.0,0.0,0.0,0.0018004864618814246,0.0,0.0,0.0,3.6069366032791604e-05,-12.129906917944426,0.0,17.15427887368024,0.0,0.00045012161547035615,0.0007796335075796381,0.0,0.0,0.00045012161547035615,1.561849364139853e-05,0.0,0.0,318172.02142808173,3412861.068300606,326731.6742018707,3404266.4777792282,973378.0806138464,964818.4278400572,387132.0464122882,395726.6369336662,0.0,0.00045012161547035615,0.0,3.6069366032791604e-05,224.9105711822511,85.82268328420555,16.0,43.16869912476115,41.427896031536136,60.53362891600593,0.1340513631639273,16.53828425697164,-9.887248092497858,44.98050593735416,-19.82895039672688,1.2089592314485897,-7.122532591741361,0.0,0.0006365680933154648
3,12.0,-16000.0,0.0,0.0,-36.38583581811489,0.0,0.0,0.0,0.004491615753069779,0.0,0.0,0.0,0.0029289998377329558,-12.12861193937163,0.0,17.152447497419608,0.0,0.0011229039382674448,0.0019449266730984008,0.0,0.0,0.0011229039382674448,0.0012682941335786196,0.0,0.0,321007.1171040074,3415682.811411756,329565.8560565273,3407089.1384415706,976212.262468503,967653.523515983,389954.70707463054,398548.3800448156,0.0,0.0011229039382674448,0.0,0.0029289998377329558,221.0269907288723,83.86428650290752,16.0,43.06382829355573,41.3002542179744,58.54362276770925,0.24596488324616533,16.715203558052494,-9.330923736558914,46.230620056255006,-20.05855390862644,1.322483363399728,-7.636268980795034,0.0,0.001588025978739981
4,16.0,-16000.0,-13.90456196436249,0.0,-36.391387745719946,0.6916622917999026,0.0,0.0,-0.002258287823159607,-0.0009958012258481006,0.0,0.0,-0.001464404089602844,-16.76531657002748,-13.90456196436249,14.993803457877949,20.614934415712444,0.3452665739441614,0.3463966380203203,0.3458311458999513,0.5127300241396023,-0.0010624725687139519,0.0005342574746953118,-0.0009958012258481006,0.00034737582270043054,320569.3380177009,3421790.7881064997,322588.0728902072,3419763.8134079995,969234.4793021828,967215.7444296766,402629.3820410594,404656.3567395597,-0.002258287823159607,0.3452665739441614,-0.002258287823159607,0.0,-0.18198455462857027,78.53507442973843,16.0,47.797655013487855,48.16108080260369,73.83754845342882,0.5894896272816543,16.43853139330543,-8.687790799234278,42.436326600560655,10.042219209104346,2.3160713640576693,-15.155955227668715,0.3458325795736353,0.34526820868869224
5,20.0,-16000.0,-13.858325090058225,0.0,-36.40786120371407,0.3246294747405999,0.0,0.0,-0.00048352759454654354,0.002201877817540218,0.0,0.0,0.00015641536466780298,-16.75539543125743,-13.858325090058225,15.003951741205142,20.54638352329217,0.16219385547166332,0.16243570922721934,0.16231473737029994,0.24064818972136084,0.0009800570101334732,0.0010632741563584736,0.0011791465911040106,0.0015163035852492767,323410.5208743905,3424606.4191909716,325454.88249642594,3422553.7131427987,972101.2889084016,970056.9272863659,405419.28177585924,407471.9878240321,-0.00048352759454654354,0.16219385547166332,-0.00048352759454654354,0.002201877817540218,74.50431202432223,76.45483510680084,16.0,47.74800224307265,47.988107323906405,71.63587328112983,0.7098773140041023,16.62414106201935,-8.875020755141675,43.006322987828185,6.096601388129962,-3.848409833034573,-18.5941608804922,0.1623190203096136,0.16219681644380668
6,24.0,-16000.0,-13.813681564750302,0.0,-36.43919684529846,0.10010439472011068,0.0,0.04014071550065487,0.028177387681951282,-0.00705028146648277,0.0,0.0,0.018197957256745445,-16.750959470016255,-13.813681564750302,15.020529680011842,20.480194933628734,0.06713172315570687,0.03324285218894829,0.07012255511038279,0.04445114192026173,0.013554385062410152,0.010324502721323424,-0.003525140733241385,0.005226381471648142,326247.8330323709,3427425.9367731004,328320.5677317613,3425344.7418378037,974966.974143737,972894.2394443464,408210.3104708629,410291.5054061599,0.028177387681951282,0.06713172315570687,-0.00705028146648277,0.018197957256745445,114.00923516678054,70.39402988688613,16.0,47.599547498882856,47.66659700306516,69.66028473710418,0.7872598344399009,16.583323110577915,-9.176243356445498,49.61889905068359,-5.503942806115489,-6.808500771434821,-21.016394018380502,0.07021110562010706,0.06848641915208122
7,28.0,-16000.0,-13.770583037818296,0.0,-36.47512211180693,0.046126987478964106,0.0,0.4106989788240337,0.36636949971664057,0.024660977300179902,0.0,0.0,0.34797793970952345,-16.748568383208408,-13.770583037818296,15.039058720674095,20.41629696198501,0.21733061337465065,0.17191951419071594,0.2062482435978024,0.2373961295516933,0.20659760828525853,0.14391244962009336,0.024660977300179902,0.018281209827881503,329083.70219369576,3430246.903241731,331185.162715562,3428136.865234397,977831.5691275377,975730.1086056714,411002.43386745686,413112.4718747912,0.046126987478964106,0.21733061337465065,0.024660977300179902,0.34797793970952345,245.7312926363847,17.834904294307755,16.0,47.321429481137585,47.22904836020564,67.98855635363503,0.819046964807289,16.432643338678062,-9.468183289331773,74.95662458067095,6.2721048499772545,10.400481524194285,-32.82863345290103,0.2077173603447204,0.2998585787650422
8,32.0,-16000.0,-13.729107553771932,0.0,-36.515689015736534,0.1907750989678632,0.0,1.832627373881168,1.1330876285803189,0.2344622410825216,0.0,0.0,1.152512463563102,-16.74826552316949,-13.729107553771932,15.05955670455648,20.354805317324285,0.8368163000993032,0.6917649278955251,0.6619313637740911,0.6985373234645262,0.8586598711566324,0.4418612965094684,0.2344622410825216,0.1738071193923709,331918.09776613204,3433069.349313967,334048.612374536,3430930.138630665,980695.0187865116,978564.5041781076,413795.70726372494,415934.9179470269,0.1907750989678632,0.8368163000993032,0.2344622410825216,1.152512463563102,234.22656425530133,23.06127397823972,16.0,46.95483597270333,46.75925606532972,66.5019784017823,0.8435442805747284,16.270481042782148,-9.693964399107534,75.88549324506656,4.664135456822109,6.863582331762725,-37.232927313117315,0.7022290743349114,1.1989821910464775
9,36.0,-16000.0,-13.689145572995976,-14.6175577829118,-36.511061896283685,0.5591732140701344,1.8104489940069328,2.8881785815682184,1.9968168542006381,0.4014113538494276,1.3329397149243882,0.0,2.0153283823965187,-21.605921750730484,-14.6175577829118,10.546338681482986,1.3764660021088908,1.5008354659772811,0.992997237052452,1.2779950341353865,1.065726825138977,1.421954535866928,0.7743249878507076,0.4014113538494276,0.2975666818752493,331324.400834609,3439333.8802603874,336255.8458511321,3434382.3066725554,982902.2522631078,977970.8072465848,417247.8753056153,422199.4488934474,0.5591732140701344,1.5008354659772811,0.4014113538494276,2.0153283823965187,22.046533880633717,96.47414788569738,16.0,46.96780919856205,46.648543154653154,66.34134719707035,0.9143109913181058,16.058946028834317,-9.91160020997292,50.71047417633519,20.378887150002324,0.40665812943888935,-10.043340353722186,1.3395530531762967,2.0674771577958904
10,40.0,-16000.0,-13.650756372761814,-14.797080695511859,-36.548459158572456,1.09705801418472,3.3646953250399916,2.673716012182737,2.524413982128253,0.4246859847770321,1.876429812729345,0.0,2.5165863679648472,-21.665432075615374,-14.797080695511859,10.534289605134198,1.6995429840361462,1.8480615056701075,0.7528563151395766,1.8107359981564863,1.0581005623351467,1.5118754909662635,0.9825355510464122,0.4246859847770321,0.3148201915993321,334116.5883260017,3442198.706693468,338963.3446399425,3437332.1674802443,985609.751051918,980762.9947379774,420197.7361133043,425064.2753265281,1.09705801418472,1.8480615056701075,0.4246859847770321,2.5165863679648472,54.38738198576365,83.8880296372329,16.0,46.715160186825045,46.1427778073783,65.46822111358127,0.9622113803376517,15.809669896400136,-10.118599417227625,41.96208698915541,14.915098033469334,-0.7796263858958925,-10.241792152048726,1.8598717807111877,2.3876973905677716
11,44.0,-16000.0,-13.613957870490882,-14.973149586951171,-36.61229558740949,1.677741086005275,4.367105353377289,1.882638955603226,2.60510407926319,0.3675704806097004,1.7405775114843045,0.0,2.6235685111131506,-21.733134348283844,-14.973149586951171,10.535778089141386,2.015140654198465,1.9608063017192408,0.3812747017706791,1.7801900208042505,0.15189101801649674,1.3057209990214542,1.040804438769799,0.3675704806097004,0.2724804050045561,336902.9950452053,3445069.3374939887,341673.28081116715,3440279.580956908,988319.6872231428,983549.401457181,423145.1495899685,427934.9061270496,1.677741086005275,1.9608063017192408,0.3675704806097004,2.6235685111131506,46.654722751644286,99.80324999972612,16.0,46.51259012451494,45.540484238219335,64.73194074247276,1.022281433026365,15.55129168953585,-10.133988379196687,51.60540960124096,20.312160261205385,1.1612496878478011,-10.61791815673638,1.8177416121073655,2.355773478105964
12,48.0,-16000.0,-13.578685410039807,-15.147574285191832,-36.62049649529111,2.166906740192094,4.683787151273399,1.5636598962248334,2.483628024898813,0.3424076817876962,1.361699324643464,0.0,2.4968967935803312,-21.782252063507578,-15.147574285191832,10.511754577254932,2.326038126889153,2.0952753503769586,0.3330521366525606,2.166906740192094,0.2347858396770633,1.1830258211747595,0.9922394590190988,0.3424076817876962,0.2538271943258993,339702.51623921545,3447926.8002906395,344384.3772322576,3443225.8294479405,991030.7836442331,986348.9226511908,426091.39808100037,430792.36892369954,1.5636598962248334,2.0952753503769586,0.3424076817876962,2.4968967935803312,103.03424675773691,73.86074309601359,16.0,46.41803589661438,45.00236041248414,63.84962938356819,1.184311912258877,15.19828536180182,-9.953804006847935,43.65713715964562,0.4263732761135479,-6.060590140573167,-20.11871260870481,2.1937930260708622,2.40618554718116
