,index,depth,utm_lat,utm_lon,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs
0,0,-28.0,3482711.9787595063,445014.2803234938,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-24.0,3485393.175876857,442407.8987832108,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-20.0,3488075.065503368,439802.8742475058,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-16.0,3490757.6484603025,437199.20786776673,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,-12.0,3493440.925566592,434596.9007970557,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,-8.0,3496124.8976388387,431995.9541901174,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-4.0,3498809.565491313,429396.36920336884,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.0,3501494.9299359475,426798.1469949076,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,-28.0,3479877.3178719874,442177.3865526353,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,-24.0,3482559.218790135,439570.98207955796,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,-20.0,3485241.81254606,436965.9338387486,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,-16.0,3487925.0999615993,434362.24298298813,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,-12.0,3490609.0818562615,431759.9106667408,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,-8.0,3493293.7590472237,429158.9380461442,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,-4.0,3495979.1323493323,426559.32627901796,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,3498665.202575095,423961.07652485423,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,-28.0,3477043.4152081506,439338.9466800502,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,-24.0,3479726.019641385,436732.5184013628,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,-20.0,3482409.317242688,434127.44558263203,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,-16.0,3485093.3088344675,431523.7293780396,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,-12.0,3487777.995236811,428921.3709434421,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,-8.0,3490463.377267473,426320.3714363796,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,-4.0,3493149.4557418725,423720.7320160656,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,3495836.2314730943,421122.45384339604,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,-28.0,3474210.2696862496,436498.9620170493,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,-24.0,3476893.577349516,433892.5090583457,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,-20.0,3479577.578512809,431287.4107872915,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,-16.0,3482262.2739991182,428683.6683594614,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,-12.0,3484947.664629105,426081.28293211455,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,-8.0,3487633.7512210975,423480.255664184,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,-4.0,3490320.5345910955,420880.58771628665,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,0.0,3493008.01555276,418282.2802507126,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,-28.0,3471377.929673925,433657.4847334073,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,-24.0,3474061.9402702306,431051.00621883705,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,-20.0,3476746.64470019,428445.8816196244,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,-16.0,3479432.0437873686,425842.11209273647,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,-12.0,3482118.1383530037,423239.6987968324,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,-8.0,3484804.9292160044,420638.6428922458,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,-4.0,3487492.417192942,418038.9455409874,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,0.0,3490180.6030980567,415440.6079067514,225.7005,47.0,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
