lat,lon,x,y,z,slip,rake
32.2330,104.8580,154.7780,150.9600,0.4800,6.8000,147.3000
32.1680,104.7850,147.8910,143.7940,0.4800,2.0000,110.0000
32.1030,104.7110,140.9000,136.6440,0.4800,2.3430,178.8000
32.0390,104.6380,133.9930,129.4980,0.4800,4.5140,110.0000
31.9740,104.5640,126.9830,122.3470,0.4800,10.0000,143.8000
31.9090,104.4910,120.0570,115.2100,0.4800,4.7430,129.8000
31.8450,104.4170,113.0270,108.0790,0.4800,10.0000,154.3000
31.7800,104.3440,106.0820,100.9410,0.4800,10.0000,127.5000
31.7150,104.2700,99.0330,93.8190,0.4800,4.0000,126.3000
32.2470,104.8410,153.1800,152.5470,3.7600,4.4000,119.3000
32.1820,104.7670,146.1980,145.3930,3.7600,10.0000,175.3000
32.1180,104.6940,139.3020,138.2430,3.7600,11.6000,132.2000
32.0530,104.6200,132.3010,131.0880,3.7600,3.6000,166.0000
31.9880,104.5470,125.3850,123.9480,3.7600,15.6000,143.8000
31.9240,104.4730,118.3640,116.8020,3.7600,11.2000,133.3000
31.8590,104.4000,111.4290,109.6720,3.7600,11.2000,135.7000
31.7940,104.3260,104.3890,102.5460,3.7600,16.0000,110.0000
31.7290,104.2530,97.4350,95.4140,3.7600,0.0000,146.2000
32.2620,104.8230,151.4880,154.1440,7.0400,0.0000,149.7000
32.1970,104.7500,144.6010,146.9800,7.0400,2.4000,164.8000
32.1320,104.6760,137.6100,139.8320,7.0400,2.4000,111.2000
32.0670,104.6030,130.7030,132.6890,7.0400,0.4000,180.0000
32.0030,104.5290,123.6920,125.5390,7.0400,0.0000,129.8000
31.9380,104.4560,116.7660,118.4050,7.0400,13.2000,110.0000
31.8730,104.3830,109.8310,111.2760,7.0400,0.8000,121.7000
31.8080,104.3090,102.7910,104.1400,7.0400,5.2000,122.8000
31.7440,104.2360,95.8360,97.0200,7.0400,0.0000,111.2000
32.2760,104.8060,149.8910,155.7310,10.3100,0.0000,180.0000
32.2110,104.7320,142.9090,148.5790,10.3100,0.0000,149.7000
32.1460,104.6590,136.0120,141.4210,10.3100,0.0000,112.3000
32.0820,104.5860,129.1060,134.2790,10.3100,0.4000,143.8000
32.0170,104.5120,122.0950,127.1410,10.3100,0.0000,150.8000
31.9520,104.4390,115.1690,119.9970,10.3100,3.6000,110.0000
31.8870,104.3650,108.1390,112.8690,10.3100,2.8000,113.5000
31.8230,104.2920,101.1940,105.7460,10.3100,0.8000,133.3000
31.7580,104.2180,94.1440,98.6160,10.3100,0.0000,176.5000
32.2900,104.7890,148.2940,157.3180,13.5900,0.4000,159.0000
32.2250,104.7150,141.3130,150.1670,13.5900,0.0000,115.8000
32.1610,104.6420,134.4150,143.0210,13.5900,0.0000,134.5000
32.0960,104.5680,127.4140,135.8690,13.5900,0.4000,120.5000
32.0310,104.4950,120.4980,128.7330,13.5900,0.0000,161.3000
31.9670,104.4210,113.4770,121.6010,13.5900,0.0000,143.8000
31.9020,104.3480,106.5420,114.4630,13.5900,3.2000,110.0000
31.8370,104.2740,99.5020,107.3410,13.5900,0.0000,167.2000
31.7720,104.2010,92.5470,100.2230,13.5900,0.0000,131.0000
32.3050,104.7710,146.6040,158.9160,16.8700,0.0000,170.7000
32.2400,104.6980,139.7160,151.7670,16.8700,0.0000,112.3000
32.1750,104.6240,132.7250,144.6110,16.8700,0.0000,150.8000
32.1100,104.5510,125.8180,137.4710,16.8700,0.0000,129.8000
32.0460,104.4770,118.8070,130.3360,16.8700,0.0000,125.2000
31.9810,104.4040,111.8810,123.1940,16.8700,0.0000,126.3000
31.9160,104.3300,104.8510,116.0680,16.8700,4.0000,110.0000
31.8510,104.2570,97.9050,108.9350,16.8700,0.4000,170.7000
31.7870,104.1830,90.8560,101.8190,16.8700,0.0000,150.8000
32.3190,104.7540,145.0080,160.5040,20.1400,0.4000,143.8000
32.2540,104.6800,138.0270,153.3560,20.1400,0.0000,122.8000
32.1900,104.6070,131.1290,146.2120,20.1400,0.0000,153.2000
32.1250,104.5330,124.1280,139.0620,20.1400,0.0000,122.8000
32.0600,104.4600,117.2110,131.9270,20.1400,0.0000,149.7000
31.9950,104.3860,110.1910,124.7980,20.1400,0.4000,156.7000
31.9300,104.3130,103.2550,117.6620,20.1400,0.0000,117.0000
31.8660,104.2390,96.2150,110.5420,20.1400,0.0000,132.2000
31.8010,104.1660,89.2590,103.4260,20.1400,0.0000,173.0000
32.3330,104.7360,143.3190,162.1030,23.4200,0.4000,166.0000
32.2690,104.6630,136.4310,154.9440,23.4200,0.4000,176.5000
32.2040,104.5890,129.4400,147.8020,23.4200,0.0000,163.7000
32.1390,104.5160,122.5330,140.6640,23.4200,0.0000,142.7000
32.0740,104.4420,115.5220,133.5200,23.4200,0.2000,138.0000
32.0100,104.3690,108.5950,126.3910,23.4200,0.0000,127.5000
31.9450,104.2950,101.5650,119.2680,23.4200,0.2000,135.7000
31.8800,104.2220,94.6190,112.1370,23.4200,0.0000,174.2000
31.8150,104.1480,87.5690,105.0230,23.4200,0.0000,129.8000
