lat,lon,x,y,z,slip,rake,easting_utm48,northing_utm48,depth_km,strike,dip
31.359,103.678,42.508,54.869,19.05,9.0,90.0,374263.9934828799,3470144.2177488822,38.1,221,5
31.291,103.609,35.855,47.428,19.05,3.0,113.1,367605.6370119735,3462687.578883592,38.1,221,5
31.223,103.54,29.193,39.992,19.05,3.5,141.7,360937.9406863946,3455234.9224398555,38.1,221,5
31.155,103.471,22.522,32.56,19.05,1.0,127.4,354260.9265367446,3447786.232069954,38.1,221,5
31.087,103.402,15.841,25.121,19.05,0.0,102.1,347574.61652603117,3440341.4913109676,38.1,221,5
31.019,103.333,9.152,17.696,19.05,4.0,125.2,340879.032549668,3432900.683585101,38.1,221,5
30.951,103.263,2.358,10.277,19.05,5.0,141.7,334078.66077670135,3425465.2818104764,38.1,221,5
30.883,103.194,-4.35,2.861,19.05,0.0,103.2,327364.5249033966,3418032.347244509,38.1,221,5
31.382,103.647,39.593,57.507,19.4,0.0,132.9,371346.6655496538,3472729.497665119,38.45,221,5
31.314,103.578,32.94,50.069,19.4,0.0,93.3,364687.6828906158,3465274.6709135496,38.45,221,5
31.246,103.508,26.182,42.636,19.4,0.0,140.6,357924.1208535357,3457825.1103178533,38.45,221,5
31.178,103.439,19.51,35.205,19.4,0.0,91.1,351246.40202653967,3450378.284919417,38.45,221,5
31.11,103.37,12.829,27.779,19.4,1.5,106.5,344559.3829425814,3442935.4064727426,38.45,221,5
31.043,103.301,6.139,20.356,19.4,1.5,135.1,337864.7809996335,3435607.3072331967,38.45,221,5
30.975,103.232,-0.561,12.927,19.4,0.0,103.2,331159.29237201647,3428172.273691796,38.45,221,5
30.907,103.163,-7.269,5.512,19.4,0.0,106.5,324444.56862045673,3420741.1371227237,38.45,221,5
31.406,103.615,36.585,60.159,19.75,0.0,112.0,368337.1023236057,3475427.6918982137,38.8,221,5
31.338,103.546,29.931,52.722,19.75,0.0,142.8,361677.48780093977,3467974.736533024,38.8,221,5
31.27,103.477,23.268,45.279,19.75,0.0,102.1,355008.524417483,3460525.7585162856,38.8,221,5
31.202,103.408,16.595,37.85,19.75,0.0,139.5,348330.23414891324,3453080.741503636,38.8,221,5
