index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48
1,3.8142,4,3.973,96.66,-137.01,32.6194,105.4699,1.43708,1.25042,544083.8049368862,3609192.3249321165
2,3.8151,4,7.9605,96.66,-135.9,32.6168,105.4732,1.44738,1.1813900000000002,544394.6815110112,3608905.4756768555
3,3.8189,4,11.9407,96.66,-134.78,32.614,105.4764,1.4638499999999999,0.99627,544696.2931502962,3608596.4230113383
4,3.8259,4,15.921,96.66,-133.67,32.6112,105.4795,1.45666,0.8148200000000001,544988.5409519002,3608287.337077185
5,3.8359,4,19.9012,96.66,-132.56,32.6084,105.4826,1.4347400000000001,0.6812100000000001,545280.8068050711,3607978.259643881
6,3.8489,4,23.8815,96.66,-131.45,32.6055,105.4855,1.4119100000000002,0.6013200000000001,545554.3751935926,3607658.019525718
7,3.8648,4,27.8617,96.66,-130.34,32.6025,105.4884,1.39795,0.56645,545828.0119680343,3607326.7013855847
8,3.8162,4,3.9875,94.53,-137.0,32.5953,105.441,1.52134,1.30318,541383.6008843126,3606509.112824276
9,3.8192,4,7.9713,94.53,-134.78,32.5932,105.4434,1.5288800000000002,1.21042,541609.7901431146,3606277.2551722415
10,3.8267,4,11.957,94.53,-132.55,32.5912,105.4457,1.5172,0.97933,541826.5588785721,3606056.448715937
11,3.8388,4,15.9427,94.53,-130.34,32.589,105.4479,1.4825599999999999,0.78039,542034.0457779315,3605813.436569996
12,3.8552,4,19.9283,94.53,-128.14,32.5868,105.45,1.4421,0.64919,542232.1577241067,3605570.3890138464
13,3.8761,4,23.914,94.53,-125.96,32.5846,105.4521,1.41028,0.5804,542430.279261105,3605327.345374029
14,3.9014,4,27.8997,94.53,-123.79,32.5823,105.4541,1.3960000000000001,0.55992,542619.0722352647,3605073.1801710604
15,3.8152,4,3.9965,92.4,-136.99,32.5711,105.4121,1.62103,1.18426,538681.9849016129,3603815.5712943855
16,3.8197,4,7.9893,92.4,-134.76,32.57,105.4133,1.61512,1.10268,538795.097894894,3603694.069006351
17,3.8241,4,11.984,92.4,-132.53,32.5689,105.4145,1.56847,0.91165,538908.2136309415,3603572.567994052
18,3.8285,4,15.9786,92.4,-130.3,32.5677,105.4157,1.50756,0.74138,539021.3754045538,3603439.9828903154
19,3.8329,4,19.9733,92.4,-128.08,32.5666,105.4168,1.45327,0.63061,539125.1096568176,3603318.447668094
20,3.8372,4,23.9679,92.4,-125.85,32.5653,105.4178,1.41712,0.57704,539219.5462351129,3603174.7059414536
21,3.8416,4,27.9626,92.4,-123.63,32.5641,105.4188,1.40383,0.56835,539313.9418927777,3603042.050473354
22,4.5089,4,4.0,90.27,-127.8,32.547,105.378,1.62376,1.10649,535490.6352476581,3601132.1254487354
23,4.5247,4,7.9962,90.27,-125.93,32.5469,105.3782,1.61942,1.0135800000000001,535509.4528438775,3601121.1068079406
24,4.5399,4,11.9943,90.27,-124.06,32.5468,105.3783,1.57181,0.8669500000000001,535518.8813460564,3601110.0548462183
25,4.5546,4,15.9924,90.27,-122.2,32.5467,105.3785,1.5086,0.73504,535537.6990152017,3601099.036258296
26,4.5688,4,19.9906,90.27,-120.34,32.5466,105.3786,1.45698,0.64665,535547.1275693497,3601087.9843231034
27,4.5823,4,23.9887,90.27,-118.49,32.5465,105.3788,1.42733,0.6040800000000001,535565.9453114171,3601076.965788053
28,4.5953,4,27.9868,90.27,-116.64,32.5463,105.3789,1.42187,0.60068,535575.4133563299,3601054.8285708325
29,4.5089,4,3.9979,88.13,-127.8,32.5232,105.339,1.65009,1.13731,531837.2792143901,3598481.5052055335
30,4.5113,4,7.9921,88.13,-125.91,32.5242,105.3382,1.60817,1.03603,531761.7948172671,3598592.1189627033
31,4.5137,4,11.9881,88.13,-124.02,32.5251,105.3374,1.54698,0.91586,531686.347176039,3598691.6480437815
32,4.5162,4,15.9841,88.13,-122.13,32.5261,105.3367,1.49557,0.8031699999999999,531620.2572832471,3598802.2926169853
33,4.5186,4,19.9802,88.13,-120.25,32.5271,105.336,1.46308,0.71803,531554.168839284,3598912.9376328737
34,4.5211,4,23.9762,88.13,-118.36,32.5282,105.3353,1.45072,0.6696799999999999,531488.046961282,3599034.6683456893
35,4.5235,4,27.9722,88.13,-116.48,32.5292,105.3347,1.45815,0.6594099999999999,531431.3524354253,3599145.3437432973
36,4.5104,4,3.9903,86.0,-127.78,32.4994,105.3001,1.77298,1.22397,528191.386872252,3595832.270870337
