index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48,segment,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
1,3.8142,4,3.9730000000000003,96.66,222.99,32.6194,105.4699,1.43708,1.25042,544083.8049368862,3609192.324932117,beichuan,2127.518842212044,4528.10175754212,5021.3468549802765,753.2114434514441,-137.11998381558476,-2241.6904198783395,1403.7147987859244,696.9583945048571,2.1220000000000003,2197.271255367822,-1098.4894816735214,-935.7953578385784,124.68682773610635
2,3.8151,4,7.9605,96.66,224.1,32.6168,105.4732,1.4473799999999999,1.1813900000000002,544394.6815110112,3608905.4756768565,beichuan,1348.0762416414836,-36.09631110516721,4715.5372697642615,791.8846444893223,801.3934177310247,622.7120722115676,1404.0812815303184,696.6202368209238,6.1095,-81.55675171569746,417.9857027304608,595.2386362419873,776.2724054163558
3,3.8189,4,11.9407,96.66,225.22,32.614000000000004,105.4764,1.46385,0.9962700000000001,544696.2931502962,3608596.4230113374,beichuan,1101.4285533469376,-469.434473131992,2472.3071132906675,320.81864096966694,-322.7083271794165,327.80549034928475,1404.4368421305903,696.2559042257758,10.0897,128.53403035197147,733.6645318616432,777.4480788381517,991.8459800450471
4,3.8259,4,15.921,96.66,226.33,32.6112,105.4795,1.45666,0.8148200000000001,544988.5409519002,3608287.337077185,beichuan,748.4559181816123,-174.3779380953975,1192.462651452337,148.75252127567606,-817.8998738035583,272.1333639939222,1404.7813639932506,695.8915324112686,14.07,306.9638462492296,865.0003730046586,497.77274376959366,813.8213664678981
5,3.8359,4,19.9012,96.66,227.44,32.6084,105.4826,1.43474,0.6812100000000001,545280.8068050711,3607978.259643881,beichuan,244.39347656136295,-126.66456376264517,245.02533414184353,72.54155608131737,-371.1983103209233,184.22269101556734,1405.1259071363424,695.5271706181475,18.0502,63.596332443956065,407.94181690401786,194.7384808531218,413.88158145517053
6,3.8489,4,23.8815,96.66,228.55,32.6055,105.4855,1.4119100000000002,0.6013200000000001,545554.3751935926,3607658.019525718,beichuan,36.002769751494206,-183.4993243642594,-325.24364910449833,27.254647278808594,13.885959358310178,138.45469875932105,1405.4484084186824,695.1496494823086,22.0305,-95.40462566368943,67.7472030640808,92.99186502182712,172.2956783743816
7,3.8648,4,27.8617,96.66,229.66,32.6025,105.4884,1.39795,0.56645,545828.0119680343,3607326.701385585,beichuan,131.6762129754489,100.14528208809128,24.676869082674095,24.932250533016436,-200.0857980742762,115.92265823435014,1405.7709903190616,694.7590688102036,26.0107,138.08935703961885,204.6354838604602,20.42657600085765,122.79882622351218
8,3.8162,4,3.9875,94.53,223.0,32.5953,105.441,1.52134,1.30318,541383.6008843125,3606509.112824276,beichuan,7945.026534946287,-14136.189261126046,-5245.665178030064,741.1124411837139,-349.99231288693244,-2308.259644739102,1400.531612036018,693.7952390312084,2.1365,-3285.924125305686,-1473.5286009167583,11183.02841159866,13251.244674490417
9,3.8192,4,7.9713,94.53,225.22,32.5932,105.4434,1.5288800000000002,1.21042,541609.7901431146,3606277.255172242,beichuan,3854.3597014979846,494.832516632248,-1947.3312834429757,-148.84923223084667,-787.0047873099334,-2071.0696871405853,1400.7982595328635,693.521909241515,6.1203,2139.782881574683,-1239.5404426497896,1834.9476813052897,930.5135942610202
10,3.8267,4,11.957,94.53,227.45,32.5912,105.4457,1.5172,0.9793299999999999,541826.5588785721,3606056.448715937,beichuan,1773.4282094983082,1399.2350078777017,1009.1664664976173,-70.46809895317462,140.64574212532864,-445.70203097051393,1401.0538014671274,693.2616073634645,10.106000000000002,1569.941806562045,-467.8818809740453,207.45224968563167,-430.15467915490876
