index,length_km,width_km,depth_km,dip,strike,lat,lon,ss_mm,ds_mm
1,3.8142,4,3.9730,96.66,-137.01,32.6194,105.4699,-1437.08,1250.42
2,3.8151,4,7.9605,96.66,-135.90,32.6168,105.4732,-1447.38,1181.39
3,3.8189,4,11.9407,96.66,-134.78,32.6140,105.4764,-1463.85,996.27
4,3.8259,4,15.9210,96.66,-133.67,32.6112,105.4795,-1456.66,814.82
5,3.8359,4,19.9012,96.66,-132.56,32.6084,105.4826,-1434.74,681.21
6,3.8489,4,23.8815,96.66,-131.45,32.6055,105.4855,-1411.91,601.32
7,3.8648,4,27.8617,96.66,-130.34,32.6025,105.4884,-1397.95,566.45
8,3.8162,4,3.9875,94.53,-137.00,32.5953,105.4410,-1521.34,1303.18
9,3.8192,4,7.9713,94.53,-134.78,32.5932,105.4434,-1528.88,1210.42
10,3.8267,4,11.9570,94.53,-132.55,32.5912,105.4457,-1517.20,979.33
11,3.8388,4,15.9427,94.53,-130.34,32.5890,105.4479,-1482.56,780.39
12,3.8552,4,19.9283,94.53,-128.14,32.5868,105.4500,-1442.10,649.19
13,3.8761,4,23.9140,94.53,-125.96,32.5846,105.4521,-1410.28,580.40
14,3.9014,4,27.8997,94.53,-123.79,32.5823,105.4541,-1396.00,559.92
15,3.8152,4,3.9965,92.40,-136.99,32.5711,105.4121,-1621.03,1184.26
16,3.8197,4,7.9893,92.40,-134.76,32.5700,105.4133,-1615.12,1102.68
17,3.8241,4,11.9840,92.40,-132.53,32.5689,105.4145,-1568.47,911.65
18,3.8285,4,15.9786,92.40,-130.30,32.5677,105.4157,-1507.56,741.38
19,3.8329,4,19.9733,92.40,-128.08,32.5666,105.4168,-1453.27,630.61
20,3.8372,4,23.9679,92.40,-125.85,32.5653,105.4178,-1417.12,577.04
21,3.8416,4,27.9626,92.40,-123.63,32.5641,105.4188,-1403.83,568.35
22,4.5089,4,4.0000,90.27,-127.80,32.5470,105.3780,-1623.76,1106.49
23,4.5247,4,7.9962,90.27,-125.93,32.5469,105.3782,-1619.42,1013.58
24,4.5399,4,11.9943,90.27,-124.06,32.5468,105.3783,-1571.81,866.95
25,4.5546,4,15.9924,90.27,-122.20,32.5467,105.3785,-1508.60,735.04
26,4.5688,4,19.9906,90.27,-120.34,32.5466,105.3786,-1456.98,646.65
