east_utm48,north_utm48,z,strike_slip,dip_slip,net_slip,strike,dip
462645,3566742,-478.0870972348931,1.3055756e-17,0.80531286,0.80531286,-137,35
441527,3544096,-478.0870972348931,1.1771569e-18,7.1233556,7.1233556,-137,35
420409,3521450,-478.0870972348931,-8.841610800000002,1.7417318,9.011532122886091,-137,35
399291,3498804,-478.0870972348931,-13.822629999999998,-1.6438155e-14,13.822629999999998,-137,35
378174,3476158,-478.0870972348931,-0.84428228,-2.0602098e-14,0.84428228,-137,35
470672,3565305,-486.25151809196643,-44.574647999999996,97.411245,107.12539333311186,-137,35
455588,3549129,-486.25151809196643,-62.749131000000006,75.566939,98.22329515489125,-137,35
440504,3532953,-486.25151809196643,-72.464656,164.05858,179.34978126781962,-137,35
425420,3516778,-486.25151809196643,-157.0986,77.271378,175.07380152375424,-137,35
410335,3500602,-486.25151809196643,-114.60432,-2.0120921000000004e-16,114.60432,-137,35
395251,3484426,-486.25151809196643,-156.73958000000002,21.425068,158.19712221586406,-137,35
380167,3468251,-486.25151809196643,-172.29391999999999,82.236734,190.91379019849023,-137,35
476754,3565131,-491.6944653300153,-187.72336,239.30915,304.152805614895,-137,35
467156,3554837,-491.6944653300153,-201.71052,201.29152,284.96562933550564,-137,35
457557,3544544,-491.6944653300153,-240.39927000000003,162.12613000000002,289.95980936210765,-137,35
447958,3534250,-491.6944653300153,-221.57797999999997,280.42051000000004,357.39678740797393,-137,35
438359,3523957,-491.6944653300153,-276.65657999999996,297.19728,406.03581922866704,-137,35
428760,3513663,-491.6944653300153,-265.67675,191.99655,327.7908032609594,-137,35
419161,3503369,-491.6944653300153,-152.89121,147.39192,212.36784167229862,-137,35
409562,3493076,-491.6944653300153,-180.18405,228.57685,291.05612556743245,-137,35
399963,3482782,-491.6944653300153,-237.12014,264.96554,355.57375912897623,-137,35
390364,3472489,-491.6944653300153,-160.68178,170.89915,234.57441014460827,-137,35
380765,3462195,-491.6944653300153,-114.48473,286.45827,308.48840149115136,-137,35
480675,3564871,-495.32309709016346,-327.20992,310.96313,451.4027026567334,-137,35
474464,3558210,-495.32309709016346,-352.36657,316.53467,473.662746018276,-137,35
468253,3551550,-495.32309709016346,-338.73777,315.11041,462.6422454931467,-137,35
462042,3544889,-495.32309709016346,-359.40001,281.05088,456.243317032452,-137,35
455831,3538229,-495.32309709016346,-356.74346,319.74463,479.06421768548785,-137,35
449620,3531568,-495.32309709016346,-365.65854,519.7196700000001,635.4641636314676,-137,35
443409,3524908,-495.32309709016346,-378.47197,586.9429200000001,698.3860131859797,-137,35
437198,3518247,-495.32309709016346,-405.30581,475.22245,624.5872049632129,-137,35
430987,3511586,-495.32309709016346,-325.12394,319.3212,455.7100011307231,-137,35
424775,3504926,-495.32309709016346,-238.20382,281.69883,368.9109522445238,-137,35
418564,3498265,-495.32309709016346,-210.56155,336.17318,396.6718710593365,-137,35
412353,3491605,-495.32309709016346,-248.10291,488.88907,548.2404369580313,-137,35
406142,3484944,-495.32309709016346,-252.9125,429.54375999999996,498.47023422787,-137,35
399931,3478284,-495.32309709016346,-254.2961,294.48635,389.0870298680393,-137,35
393720,3471623,-495.32309709016346,-150.57242,161.48167,220.79036077384652,-137,35
387509,3464962,-495.32309709016346,-29.077901,154.49671999999998,157.2092898569426,-137,35
381298,3458302,-495.32309709016346,-60.042834,213.49063999999998,221.7732970453412,-137,35
483235,3564639,-497.74218481535553,-458.12830999999994,382.0792,596.5451060029711,-137,35
479174,3560284,-497.74218481535553,-532.64814,422.17505,679.6659575761921,-137,35
475113,3555929,-497.74218481535553,-490.03407999999996,388.76105,625.5146309708102,-137,35
471051,3551574,-497.74218481535553,-409.54176,419.91289000000006,586.5588532892925,-137,35
466990,3547219,-497.74218481535553,-441.23335999999995,417.93851,607.749517579331,-137,35
462929,3542864,-497.74218481535553,-448.57777000000004,368.69183,580.6510839109162,-137,35
458868,3538510,-497.74218481535553,-439.02137,386.61045,584.9849599484413,-137,35
454807,3534155,-497.74218481535553,-431.1162,501.89065,661.6308657097721,-137,35
450746,3529800,-497.74218481535553,-433.32609,635.61064,769.2674346128904,-137,35
446685,3525445,-497.74218481535553,-425.03129,805.7732900000001,911.0006544215478,-137,35
442624,3521090,-497.74218481535553,-482.4382,843.1655,971.4291931013242,-137,35
438563,3516735,-497.74218481535553,-465.17981,633.95609,786.3158269294369,-137,35
434502,3512380,-497.74218481535553,-399.16801,477.3866,622.2805364680146,-137,35
430441,3508025,-497.74218481535553,-310.25968,362.91571,477.4608691804036,-137,35
426379,3503670,-497.74218481535553,-272.53893999999997,353.5428,446.39666805226443,-137,35
422318,3499315,-497.74218481535553,-253.32746,390.27614,465.2851463816046,-137,35
418257,3494960,-497.74218481535553,-260.15725,480.84483,546.7115741095037,-137,35
414196,3490605,-497.74218481535553,-286.56829,607.50103,671.6985084728007,-137,35
410135,3486250,-497.74218481535553,-293.50426,573.52515,644.2638033606033,-137,35
406074,3481895,-497.74218481535553,-301.61773999999997,439.14135999999996,532.7460888128201,-137,35
402013,3477540,-497.74218481535553,-285.82687999999996,330.89648,437.252199316281,-137,35
397952,3473185,-497.74218481535553,-194.47294,248.30921,315.40004464658483,-137,35
393891,3468830,-497.74218481535553,-104.29786999999999,98.322374,143.3364395941687,-137,35
389830,3464475,-497.74218481535553,4.5190365e-19,23.13695,23.13695,-137,35
385769,3460120,-497.74218481535553,-1.1255978999999999e-14,69.67649,69.67649,-137,35
381707,3455765,-497.74218481535553,-51.248965000000005,70.51084,87.16785514785153,-137,35
484901,3564442,-499.3549099527162,-498.39609,384.70365,629.5995241823255,-137,35
482194,3561539,-499.3549099527162,-701.44156,607.61513,928.017461204341,-137,35
479487,3558636,-499.3549099527162,-631.7327799999999,472.3969,788.8251621596121,-137,35
476779,3555732,-499.3549099527162,-540.2914400000001,412.54755,679.786967474573,-137,35
474072,3552829,-499.3549099527162,-467.93689000000006,413.07645,624.1771275587361,-137,35
471364,3549926,-499.3549099527162,-412.88645,482.38999,634.9608830832043,-137,35
468657,3547022,-499.3549099527162,-494.12842,491.80397,697.1614162871159,-137,35
465950,3544119,-499.3549099527162,-472.50091,415.67466,629.3191026156314,-137,35
463242,3541216,-499.3549099527162,-467.70748,394.57829,611.9169173893417,-137,35
460535,3538312,-499.3549099527162,-467.8103,409.03211,621.412700061032,-137,35
457827,3535409,-499.3549099527162,-462.96994000000007,471.32086,660.6697498862372,-137,35
455120,3532506,-499.3549099527162,-454.99886,564.5285700000001,725.0630792886536,-137,35
452413,3529602,-499.3549099527162,-450.9957,621.85843,768.1829393969609,-137,35
449705,3526699,-499.3549099527162,-449.33612999999997,755.0830900000001,878.6657103400161,-137,35
446998,3523796,-499.3549099527162,-437.47243,910.47103,1010.1186185193133,-137,35
444290,3520892,-499.3549099527162,-521.58683,1045.9146,1168.755822112818,-137,35
441583,3517989,-499.3549099527162,-492.37073,799.27643,938.7607508381876,-137,35
438876,3515086,-499.3549099527162,-457.12762000000004,620.04595,770.3393025662567,-137,35
436168,3512182,-499.3549099527162,-426.14808,540.49541,688.2858957720654,-137,35
433461,3509279,-499.3549099527162,-361.88727,433.72837000000004,564.8740524496676,-137,35
430753,3506376,-499.3549099527162,-307.80642,374.14497,484.4886487519778,-137,35
428046,3503473,-499.3549099527162,-289.09713,366.14011,466.5144485705121,-137,35
425339,3500569,-499.3549099527162,-270.96621,385.24625,470.9961359722886,-137,35
422631,3497666,-499.3549099527162,-266.91885,433.44018,509.03444099958,-137,35
419924,3494763,-499.3549099527162,-271.70565,473.0008,545.4848458413511,-137,35
417216,3491859,-499.3549099527162,-286.63436,564.13401,632.7767675660111,-137,35
414509,3488956,-499.3549099527162,-301.88461,627.07141,695.9546472251193,-137,35
411802,3486053,-499.3549099527162,-308.83718,616.3485900000001,689.39537868,-137,35
409094,3483149,-499.3549099527162,-316.18694,534.87045,621.3377336922055,-137,35
406387,3480246,-499.3549099527162,-315.21107,424.83804000000003,529.0041388132862,-137,35
403679,3477343,-499.3549099527162,-300.7743,359.22402999999997,468.5158303301297,-137,35
400972,3474439,-499.3549099527162,-247.04525,263.45705,361.16612900750397,-137,35
398265,3471536,-499.3549099527162,-172.45023,188.91215,255.7867905984893,-137,35
395557,3468633,-499.3549099527162,-128.87179,106.57056000000001,167.22805541091992,-137,35
392850,3465729,-499.3549099527162,-50.284859000000004,20.505794,54.305198942829755,-137,35
390142,3462826,-499.3549099527162,1.8771598999999998e-20,1.8959151000000003e-15,1.8959151000929297e-15,-137,35
387435,3459923,-499.3549099527162,8.4064886e-15,7.879122099999999,7.879122099999999,-137,35
384728,3457019,-499.3549099527162,-6.555817599999999,10.680923,12.532392450621659,-137,35
382020,3454116,-499.3549099527162,-37.796445,10.391575,39.198929648890285,-137,35
