,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
0,1.2616,0.1872,1.2755,230.0,80.0,81.55986407549634
1,1.4475,0.1238,1.4528,230.0,80.0,85.1115731998089
2,1.4525,0.0435,1.4532,230.0,80.0,88.28459781666933
3,1.2829,-0.0,1.2829,230.0,80.0,90.0
4,1.0385,-0.0,1.0385,230.0,80.0,90.0
5,0.7792,-0.0,0.7792,230.0,80.0,90.0
6,0.5151,-0.0,0.5151,230.0,80.0,90.0
7,0.2432,-0.0,0.2432,230.0,80.0,90.0
8,2.0044,0.166,2.0113,230.0,80.0,85.2656936852578
9,2.2840000000000003,0.1032,2.2863,230.0,80.0,87.41291354748091
10,2.3488,0.021,2.3489,230.0,80.0,89.48774722792851
11,2.146,-0.0,2.146,230.0,80.0,90.0
12,1.7864,-0.0,1.7864,230.0,80.0,90.0
13,1.3603,-0.0,1.3603,230.0,80.0,90.0
14,0.9005,-0.0,0.9005,230.0,80.0,90.0
15,0.4226,-0.0,0.4226,230.0,80.0,90.0
16,2.178,0.49,2.2324,230.0,80.0,77.32086846446781
17,2.3693,0.3968,2.4023,230.0,80.0,80.49258647842521
18,2.427,0.2074,2.4359,230.0,80.0,85.11563874136075
19,2.2521,0.0481,2.2526,230.0,80.0,88.77647170922653
20,1.9087,-0.0,1.9087,230.0,80.0,90.0
21,1.4687,-0.0,1.4687,230.0,80.0,90.0
22,0.97,-0.0,0.97,230.0,80.0,90.0
23,0.4491,-0.0,0.4491,230.0,80.0,90.0
24,2.1927,1.2171,2.5079,230.0,80.0,60.966698910937644
25,2.2186,1.077,2.4662,230.0,80.0,64.10615009246055
26,2.1590000000000003,0.7543,2.287,230.0,80.0,70.74187665936039
27,1.9409,0.3679,1.9755,230.0,80.0,79.26685119090999
28,1.6065,0.096,1.6094,230.0,80.0,86.58022928399252
29,1.2088,-0.0,1.2088,230.0,80.0,90.0
30,0.7779,-0.0,0.7779,230.0,80.0,90.0
31,0.3484,-0.0,0.3484,230.0,80.0,90.0
32,2.3109,1.8975,2.9901,230.0,80.0,50.610285785974426
33,2.2274,1.7746,2.8478,230.0,80.0,51.45518909800015
34,2.0141,1.4502,2.4818,230.0,80.0,54.24521347218402
35,1.6677,0.9338,1.9113,230.0,80.0,60.75410301855115
36,1.2563,0.4192,1.3244,230.0,80.0,71.54726637944306
37,0.8503,0.0971,0.8558,230.0,80.0,83.48532940086506
38,0.4911,-0.0,0.4911,230.0,80.0,90.0
39,0.1977,-0.0,0.1977,230.0,80.0,90.0
40,2.6079,2.0012,3.2873,230.0,80.0,52.4987838583934
41,2.5125,2.0306,3.2305,230.0,80.0,51.05489104276071
42,2.1694,1.9266,2.9014,230.0,80.0,48.39237195776171
43,1.6577,1.5004,2.2358,230.0,80.0,47.851456290737076
44,1.0999,0.8734,1.4045,230.0,80.0,51.54788811653248
45,0.6117,0.3271,0.6936,230.0,80.0,61.86483527771965
46,0.265,0.0486,0.2694,230.0,80.0,79.60765589466375
47,0.0715,-0.0,0.0715,230.0,80.0,90.0
48,2.9934,1.2851,3.2576,230.0,80.0,66.76561276390312
49,2.9283,1.6332,3.353,230.0,80.0,60.850292234109205
50,2.5038,1.9565,3.1776,230.0,80.0,51.9954950901309
51,1.8596,1.8254,2.6058,230.0,80.0,45.531739322010644
52,1.1568,1.2553,1.7071,230.0,80.0,42.66158103669362
53,0.5548,0.5853,0.8064,230.0,80.0,43.4675865535632
54,0.1662,0.1409,0.2179,230.0,80.0,49.70959636831142
55,0.0087,-0.0,0.0087,230.0,80.0,90.0
56,3.2034,0.3741,3.2252,230.0,80.0,83.33904611366995
57,3.1784,1.0064,3.3339,230.0,80.0,72.4302703790597
58,2.7716,1.7002,3.2516,230.0,80.0,58.473536773417216
59,2.1008,1.8591,2.8053,230.0,80.0,48.4928232641708
60,1.3205,1.4189,1.9383,230.0,80.0,42.942804343872304
61,0.6223,0.7357,0.9636,230.0,80.0,40.22658170677284
62,0.1686,0.2083,0.268,230.0,80.0,38.98703742490849
63,-0.0,-0.0,0.0,230.0,80.0,-180.0
64,3.1433,0.3384,3.1614,230.0,80.0,83.8553425692058
65,3.1628,0.8695,3.2802,230.0,80.0,74.62829615221251
66,2.8815,1.516,3.2559,230.0,80.0,62.250474805785245
67,2.2893,1.7093,2.8569999999999998,230.0,80.0,53.25323608952018
68,1.5006,1.3418,2.013,230.0,80.0,48.197692487708615
69,0.735,0.7177,1.0273,230.0,80.0,45.682295127090605
70,0.2085,0.2117,0.2971,230.0,80.0,44.56367693909127
71,-0.0,-0.0,0.0,230.0,80.0,-180.0
72,3.0131,0.8131,3.1209,230.0,80.0,74.89817033608702
73,3.1105,1.102,3.3,230.0,80.0,70.4915845326631
74,2.9727,1.4374,3.302,230.0,80.0,64.19467793215028
75,2.4732,1.4548,2.8694,230.0,80.0,59.53486005208762
76,1.6867,1.0873,2.0068,230.0,80.0,57.19289564881338
77,0.857,0.5617,1.0247,230.0,80.0,56.758128190038214
78,0.2531,0.1587,0.2987,230.0,80.0,57.91126422821411
79,-0.0,-0.0,0.0,230.0,80.0,-180.0
80,3.0226,1.0945,3.2146,230.0,80.0,70.0944012358635
81,3.219,1.1914,3.4324,230.0,80.0,69.68973380572815
82,3.1906,1.2574,3.4294,230.0,80.0,68.49084057172044
83,2.7354,1.1077,2.9512,230.0,80.0,67.95451782418479
84,1.912,0.7474,2.0529,230.0,80.0,68.6494923763246
85,0.9946,0.3472,1.0535,230.0,80.0,70.75666842422206
86,0.3017,0.0833,0.313,230.0,80.0,74.56505990379578
87,-0.0,-0.0,0.0,230.0,80.0,-180.0
88,3.2132,1.0937,3.3942,230.0,80.0,71.20259680303124
89,3.5157,1.0671,3.6741,230.0,80.0,73.11568702226076
90,3.5534,0.9684,3.6830000000000003,230.0,80.0,74.75552381669719
91,3.0808,0.733,3.1668,230.0,80.0,76.61672162855312
92,2.1723,0.4197,2.2125,230.0,80.0,79.06488298974409
93,1.1457,0.1554,1.1562,230.0,80.0,82.27567727094842
94,0.3606,0.0229,0.3613,230.0,80.0,86.36629567936309
95,0.008,-0.0,0.008,230.0,80.0,90.0
96,3.5162,1.0979,3.6836,230.0,80.0,72.65952250505991
