,lat_deg,lon_deg,depth_km,x_local_km,y_local_km,utm_lon,utm_lat,x_pixel,y_pixel,z_pixel,zz_stress,xx_stress,yy_stress,xz_stress,xy_stress,yz_stress,sig_nn,tau_dd,tau_ss,tau_cs,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
0,32.6006,105.381,1.9696,2.0312,2.0,535751.0363033958,3607074.8810483217,1393.8915564724853,694.4622056304856,0.4696,-5922.462813847082,-3795.2426646054814,-12251.319718314908,142.03833482126356,-2308.8582854997658,-10070.189533610896,-3797.124992431661,-7430.758814065448,3390.256392360957,10445.89490328745,1.2616,0.1872,1.2755,230.0,80.0,81.55986407549634
1,32.6054,105.3762,5.9088,2.0312,6.0,535298.744292876,3607605.3770192876,1393.358363459312,695.0875908653711,4.4088,-6371.9750758351365,-2830.8009829613525,-6074.124689576614,-2266.0885478979117,-1186.7554897268665,-5300.726337503706,-2759.3529583772483,-1966.9755638858142,882.60854623748,3811.5316981253854,1.4475,0.1238,1.4528,230.0,80.0,85.1115731998089
2,32.6102,105.3715,9.8481,2.0312,10.0,534855.8827100977,3608135.9262625608,1392.836287684706,695.7130389013264,8.3481,-71.62152318897466,432.9331269840685,-1770.0215379913739,-186.29416598008922,74.30458622977358,-180.67372664719093,-900.6351413839752,-164.8339909293135,1010.6090283623322,1564.3443911910877,1.4525,0.0435,1.4532,230.0,80.0,88.28459781666933
3,32.615,105.3667,13.7873,2.0312,14.0,534403.6860057607,3608666.4627989205,1392.3032070250333,696.3384719574951,12.2873,1365.6635795306881,610.6776586382067,-512.2379342058855,-176.28301295079098,113.84440691926808,99.4456282822726,-179.18512209898927,-82.90619974866277,512.7096854548956,626.8805559169937,1.2829,-0.0,1.2829,230.0,80.0,90.0
4,32.6198,105.3619,17.7265,2.0312,18.0,533951.5372178854,3609197.0198357617,1391.77018285259,696.9639291810458,16.2265,1767.1976769177047,310.63910297441913,107.66114854864317,65.68321754937818,65.1815461339066,-188.2501105246206,240.545591313345,-455.61826233590256,75.00706703151283,317.4237265086773,1.0385,-0.0,1.0385,230.0,80.0,90.0
5,32.6246,105.3572,21.6658,2.0312,22.0,533508.8173736985,3609727.628904695,1391.2482741692097,697.589447743615,20.1658,1178.1747448599901,-39.680797053860935,189.79844889928972,471.54480368637496,218.1362189924557,-216.15912689791267,79.6024639541478,-662.3985885934082,-109.98479642208392,623.7059784819344,0.7792,-0.0,0.7792,230.0,80.0,90.0
6,32.6294,105.3524,25.605,2.0312,26.0,533056.7639400763,3610258.226535752,1390.7153624069365,698.2149528224263,24.105,579.8699805589332,-138.23468392358086,166.98722500486258,474.8533142105712,173.78497603933096,-176.62439822120695,41.81617636071336,-535.4053683227091,-134.27673006929177,526.8968417251559,0.5151,-0.0,0.5151,230.0,80.0,90.0
7,32.6341,105.3476,29.5442,2.0312,30.0,532604.7947150661,3610777.759234976,1390.1825499155816,698.8274137965282,28.0442,98.13694639716323,-36.784240451940896,54.965975713012945,145.05402442785459,-26.210257597824018,-5.389864578103225,77.83734286250507,-100.9471732474585,-21.315788446476493,56.47072365127853,0.2432,-0.0,0.2432,230.0,80.0,90.0
8,32.5772,105.3478,1.9696,6.0938,2.0,532644.1870239866,3604470.2298938055,1390.2289882859272,691.3916632263731,0.4696,7409.78615264697,4729.252901502716,30847.9785486723,672.829944280401,1301.281331006218,5562.081878690188,17122.77918033022,5540.977897947618,-12177.77228569023,3105.442099980921,2.0044,0.166,2.0113,230.0,80.0,85.2656936852578
9,32.5819,105.343,5.9088,6.0938,6.0,532191.9816369943,3604989.7788948505,1389.695897390542,692.0041434181858,4.4088,17079.56625088449,-1976.040677782921,6355.638961906298,2079.6108550026597,1249.3211842568767,7122.811738230532,738.1156600782751,1238.2036178153635,-3182.196038193723,2971.7345084589265,2.2840000000000003,0.1032,2.2863,230.0,80.0,87.41291354748091
