,lat_deg,lon_deg,depth_km,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg,xx_stress,yy_stress,xy_stress,zz_stress,xz_stress,yz_stress,easting_utm48,northing_utm48
594,31.4746,104.1627,1.0893,0.5677,1.2633,1.385,222.0,33.0,24.198131004408282,0.0,0.0,0.0,0.0,0.0,0.0,420463.5890021189,3482504.922705377
595,31.4948,104.1364,3.2678,0.2321,1.2019,1.2241,222.0,33.0,10.929900032614826,25.847037102230754,35.3963383995675,3.1417271831750755,35.51388172351835,4.301922407130776,-4.413695621822198,417982.85269614065,3484763.23904172
596,31.515,104.1101,5.4464,0.0697,1.0293,1.0317,222.0,33.0,3.8739226208002457,30.350973622537193,37.070789771205675,1.0184392158306823,38.813758907589246,7.661354341665298,-4.909541150039661,415503.192854772,3487022.1756568467
597,31.5351,104.0838,7.6249,-0.0,0.795,0.795,222.0,33.0,-0.0,32.92611644453973,37.67776788887157,0.8680600897961709,45.18968208560962,11.161905792760217,-6.073197247352407,413024.51749594,3489270.6491025914
598,31.5553,104.0575,9.8035,-0.0,0.4625,0.4625,222.0,33.0,-0.0,33.90049553584085,38.09874879174506,1.4705557149939985,51.2128247668351,12.704137540294907,-5.864977768560933,410547.0100502961,3491530.8281048173
599,31.5755,104.0311,11.9821,-0.0,0.13699999999999998,0.13699999999999998,222.0,33.0,-0.0,34.378015183772014,38.631322462023135,1.8337711302464468,55.85676594184427,12.943255906790124,-5.051012874922137,408061.0918420591,3493791.7133130403
600,31.5956,104.0048,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,34.8959140408538,39.34291269100243,1.7914617130451989,58.90368816543986,12.563301008424487,-4.037776117901791,405585.6435566269,3496042.0553100887
601,31.6158,103.9784,16.3392,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.658774494483204,40.36051522671148,1.411644119998281,60.55915186036884,12.1528274271314,-3.285244253778924,403101.8881441718,3498304.1936349757
602,31.6359,103.95200000000001,18.5177,-0.0,-0.0,0.0,222.0,33.0,-180.0,36.557964664315726,41.49213979420692,0.9429021452022556,61.55540136457729,12.028487272929747,-3.084256552994251,400619.111246821,3500555.876212487
603,31.4479,104.1345,1.0893,0.7058,1.8124,1.945,222.0,33.0,21.27735065181082,0.0,0.0,0.0,0.0,0.0,0.0,417761.40203309216,3479566.310342501
