,txx,tyy,txy,mu,phi
32770,1.7498732364760297,1.4741746710238912,0.2477918575806365,0.22195613732127503,0.06938501224462891
32778,1.3587488464857034,0.4658443726116264,-0.5587755823552953,0.3009862405565613,0.19899736225275425
2,0.8714443435766271,0.1447764086228284,0.05531787397004721,0.38904986947833525,0.5846312725955584
65550,1.7952889075116505,0.6359582278303275,-0.33721265884537377,0.27097839705989735,0.041428804169938584
15,0.7848399789864543,0.2090373771499117,0.1492692766496868,0.5739355080085664,0.7081302751725641
98320,2.0068479283390883,1.2686042920868283,0.2317076966358977,0.24305255493213462,0.06507092458568313
98327,0.5817644355618085,0.3331003051714295,0.003901181803893074,0.49971364975833804,0.7675413529360536
25,1.61416466898403,0.7324952779174513,-0.27543710138412075,0.23394535299256414,0.0048934377712813535
98330,1.5600688564693426,1.1444522659173806,0.12036047419983174,0.2457089147553384,0.16579033373133345
65566,1.4414966905485476,1.1529253854348285,-0.3598660732092186,0.3475264665250084,0.3375792251172021
32801,1.5905390796238017,0.6899255716525092,0.07959702529443445,0.4718208680418838,0.4467947560660833
98338,1.0443202489769057,0.277643154384748,-0.04053439075295979,0.20163909940601896,0.1640402502213295
32803,0.7753854558530272,0.4278030034219941,-0.18452151831833702,0.2375149529983981,0.3970070039602808
36,0.9873212090428429,0.06744978442409165,0.21250450764385934,0.21685020077506886,0.1551140936249179
38,0.6245850138379738,0.2513649181870505,-0.34462631303258984,0.18526926093285653,0.26682949344096074
98345,1.0689314418770828,0.5023408930451286,0.3303152782895834,0.3885256803879139,0.5537891985143417
65582,1.8616857042023447,0.6113997501427051,-0.8530881641878494,0.3782065717374357,0.18595482873791716
48,0.5971834951669738,0.08518282361088438,-0.1593560568433076,0.15463016099575982,0.23213351521985945
51,1.3664853347200958,0.6071466654719913,0.007768370332800175,0.2879502523517668,0.29985243789929783
32820,1.987722754257216,0.8723453796496873,-0.04843769516957179,0.5395634168511148,0.4257088980357126
56,1.6130364865379203,1.1335581373859898,0.08874833620039578,0.2293888804240845,0.10897001329416413
